id,club_id,match_id,players_id,matchperiod,eventsec,eventname,action,modifier,x_begin,y_begin,x_end,y_end,is_success
26944,81,364,1669,2H,315.69292099999984,Duel,Ground attacking duel,won,91,10,90.0,13.0,t
26950,63,364,1292,2H,326.4745549999998,Pass,Simple pass,,18,4,28.0,23.0,t
26957,63,364,1581,2H,339.35671700000006,Duel,Ground attacking duel,won,72,36,80.0,33.0,t
26964,81,364,1630,2H,365.812038,Pass,Simple pass,,57,29,39.0,12.0,t
26968,81,364,1433,2H,377.99876600000016,Pass,Simple pass,,54,51,71.0,50.0,t
26976,81,364,1658,2H,412.76179700000006,Pass,Simple pass,,62,91,47.0,61.0,t
26989,81,364,1998,2H,440.7956749999999,Pass,Simple pass,,69,18,71.0,18.0,t
27000,63,364,1617,2H,491.221243,Duel,Ground attacking duel,won,64,42,70.0,51.0,t
27004,63,364,1292,2H,501.221161,Pass,Simple pass,counter_attack,93,19,79.0,17.0,t
27012,81,364,1631,2H,541.833877,Pass,Simple pass,,31,91,25.0,66.0,t
27020,63,364,1470,2H,571.4096060000002,Duel,Ground defending duel,won,36,72,33.0,88.0,t
27025,63,364,1581,2H,581.1820120000002,Pass,Simple pass,,59,91,56.0,88.0,t
27030,81,364,1975,2H,596.9472879999998,Pass,Simple pass,,30,15,33.0,52.0,t
27042,81,364,107,2H,642.1578730000001,Shot,Shot,gtr,80,54,0.0,0.0,t
27049,81,364,1433,2H,713.9289280000003,Pass,Simple pass,,28,89,36.0,95.0,t
27054,81,364,1631,2H,723.7028319999998,Free Kick,Throw in,,60,100,57.0,78.0,t
27058,81,364,1998,2H,731.819582,Pass,Simple pass,,63,10,60.0,21.0,t
27068,81,364,1658,2H,784.5179019999997,Pass,Simple pass,,45,27,29.0,17.0,t
27072,81,364,1998,2H,798.3199469999998,Pass,Head pass,,37,9,62.0,10.0,t
27078,81,364,683,2H,809.3882279999998,Pass,Simple pass,,11,42,56.0,6.0,t
27083,63,364,1617,2H,829.778101,Duel,Ground loose ball duel,won,41,26,30.0,17.0,t
27088,63,364,1586,2H,836.9185749999998,Pass,Simple pass,,25,12,38.0,50.0,t
27092,63,364,1292,2H,846.2416849999998,Pass,Cross,high,73,17,86.0,57.0,t
27102,81,364,178,2H,889.3147609999996,Duel,Ground attacking duel,neutral,37,90,34.0,92.0,t
27106,81,364,826,2H,895.7791969999998,Duel,Ground attacking duel,won,43,65,42.0,65.0,t
27112,81,364,107,2H,916.4455699999999,Pass,Simple pass,,69,19,60.0,6.0,t
27117,81,364,1669,2H,924.692054,Pass,Head pass,assist,90,29,93.0,54.0,t
27122,63,364,1586,2H,989.5779890000003,Pass,Simple pass,,27,22,41.0,6.0,t
27128,63,364,1584,2H,997.6397230000001,Duel,Ground attacking duel,neutral,30,35,26.0,36.0,t
27134,81,364,1998,2H,1005.2144939999998,Pass,Simple pass,,36,13,45.0,15.0,t
27138,81,364,1975,2H,1011.4885949999998,Pass,Simple pass,,32,20,29.0,46.0,t
27153,63,364,1617,2H,1072.6348479999997,Pass,Simple pass,,73,7,81.0,4.0,t
27160,81,364,178,2H,1081.441643,Duel,Ground defending duel,neutral,5,20,26.0,49.0,t
27164,63,364,1292,2H,1090.9203289999996,Pass,Simple pass,,75,18,67.0,21.0,t
27171,81,364,1669,2H,1102.7601800000002,Duel,Ground defending duel,neutral,63,11,69.0,15.0,t
27177,81,364,826,2H,1115.7818390000002,Duel,Ground attacking duel,won,56,33,74.0,42.0,t
27184,81,364,1658,2H,1131.5498639999996,Pass,Simple pass,,49,61,55.0,55.0,t
27188,81,364,107,2H,1135.4354039999998,Pass,Simple pass,,50,49,38.0,62.0,t
27418,81,364,1433,2H,1990.572832,Duel,Ground loose ball duel,lost,48,24,81.0,34.0,f
27427,63,364,1368,2H,2005.901205,Pass,High pass,,37,96,73.0,74.0,f
27439,81,364,178,2H,2087.606079,Free Kick,Corner,high,100,0,94.0,43.0,f
27449,63,364,1292,2H,2127.655936,Duel,Ground defending duel,lost,44,5,42.0,14.0,f
27470,81,364,22,2H,2177.508293,Shot,Shot,otr,91,63,0.0,0.0,f
27482,63,364,711,2H,2213.663027,Pass,High pass,,28,75,64.0,6.0,f
